Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
1,1,Deçan/Dečani,0101c,Deçan/Dečani,"Shkolla ""Vëllezërit Frashëri""","Škola ""Vëllezërit Frashëri""",,
2,1,Deçan/Dečani,0101x,Deçan/Dečani,"Shkolla ""Lidhja e Prizrenit""","Škola ""Lidhja e Prizrenit""",,
3,1,Deçan/Dečani,0102c,Drenoc/Drenovac,"Shkolla ""Sylë Alaj""","Škola ""Sylë Alaj""",,
4,1,Deçan/Dečani,0103c,Gramaçel/Gramočelj,"Shkolla ""Drita""","Škola ""Drita""",,
5,1,Deçan/Dečani,0105c,Strellci i Epërm/Gornje Streoc,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
6,1,Deçan/Dečani,0106c,Irzniq/Rznic,"Shkolla ""Avni Rrustemi""","Škola ""Avni Rrustemi""",,
7,1,Deçan/Dečani,0108c,Isniq/Istinić,"Shkolla Fillore ""Isa Boletini""","Osnovna Škola ""Isa Boletini""",,
8,1,Deçan/Dečani,0110c,Lumbardhë/ Lumbarda,"Shkolla ""Lan Selimi""","Škola ""Lan Selimi""",,
1,2,Gjakovë/Đakovica,0201c,Gjakovë/Đakovica,"Gjimnazi ""Hajdar Dushi"" Objekti i Ri","Gimnazija ""Hajdar Dushi"" Novi Objekat",,
2,2,Gjakovë/Đakovica,0202c,Gjakovë/Đakovica,"Shkolla Fillore ""Mustafa Bakija"" e vjeter","Osnovna Škola ""Mustafa Bakija"" stara",,
3,2,Gjakovë/Đakovica,0202x,Gjakovë/Đakovica,"Shkolla Fillore ""Mustafa Bakija"" e re","Osnovna Škola ""Mustafa Bakija"" nova",,
4,2,Gjakovë/Đakovica,0203c,Gjakovë/Đakovica,"Shkolla Fillore ""Mazllum Këpuska""","Osnovna Škola ""Mazllum Këpuska""",,
5,2,Gjakovë/Đakovica,0203x,Gjakovë/Đakovica,"Shkolla e Mesme ""Nexhmedin Nixha""","Srednja Skola ""Nedjmedin Nidja""",,
6,2,Gjakovë/Đakovica,0204c,Gjakovë/Đakovica,"Shkolla e Mesme ""Kadri Kusari ""","Srednja Škola ""Kadri Kusari """,,
7,2,Gjakovë/Đakovica,0205c,Gjakovë/Đakovica,"Shkolla Fillore ""Zekeria Rexha""","Osnovna Škola ""Zekeria Rexha""",,
8,2,Gjakovë/Đakovica,0206c,Kralan/Kraljane,"Shkolla Fillore ""Hazir Ramaj""","Osnovna Škola ""Hazir Ramaj""",,
9,2,Gjakovë/Đakovica,0207c,Cërmjan/Crmljane,"Shkolla Fillore ""Vëllazërimi""","Osnovna Škola ""Vëllazërimi""",,
10,2,Gjakovë/Đakovica,0208c,Bishtrazhin/Bistrazin,"Shkolla Fillore ""Gjergj Fishta""","Osnovna Škola ""Gjergj Fishta""",,
11,2,Gjakovë/Đakovica,0209c,Lipovec/Lipovac,"Shkolla Fillore ""Niman Ferizi""","Osnovna Škola ""Niman Ferizi""",,
12,2,Gjakovë/Đakovica,0210c,Ponoshec/Ponoševac,"Shkolla Fillore ""Ganimete Tërbeshi""","Osnovna Škola ""Ganimete Tërbeshi""",,
13,2,Gjakovë/Đakovica,0211c,Korenicë/Korenica,"Shkolla Fillore ""Luigj Gurakuqi""","Osnovna Škola ""Luigj Gurakuqi""",,
14,2,Gjakovë/Đakovica,0212c,Rogovë/Rogovo,"Shkolla ""Haxhi Hoti""","Škola ""Haxhi Hoti""",,
15,2,Gjakovë/Đakovica,0213c,Demjan/Demnjane,"Shkolla Fillore ""Durak Ahmeti""","Osnovna Škola ""Durak Ahmeti""",,
16,2,Gjakovë/Đakovica,0214c,Skivjan/Skivjane,"Shkolla ""Ukshin Miftari""","Škola ""Ukshin Miftari""",,
17,2,Gjakovë/Đakovica,0215c,Bec/Bec,"Shkolla Fillore ""Ahmet Rrustemi""","Osnovna Škola ""Ahmet Rrustemi""",,
18,2,Gjakovë/Đakovica,0219c,Novosellë e Epërme/Gornje Novo Selo,"Shkolla ""Shtjefën Kurti""","Škola ""Shtjefën Kurti""",,
19,2,Gjakovë/Đakovica,0220c,Jabllanicë (Shqiponjë)/Jablanica,"Shkolla Fillore ""Dëshmorët e Kombit""","Osnovna Škola ""Dëshmorët e Kombit""",,
20,2,Gjakovë/Đakovica,0221c,Sheremetaj/Seremet,"Shkolla ""Zef Mark Perkaj""","Škola ""Zef Mark Perkaj""",,
21,2,Gjakovë/Đakovica,0222c,Brekoc/Brekovac,"Shkolla Fillore ""Zef Lush Marku""","Osnovna Škola ""Zef Lush Marku""",,
22,2,Gjakovë/Đakovica,0223c,Piskotë/Piskote,"Shkolla Fillore ""Selman Riza""","Osnovna Škola ""Selman Riza""",,
23,2,Gjakovë/Đakovica,0224c,Dobilibare/Doblibare,"Shkolla Fillore ""Remzi Pula""","Osnovna Škola ""Remzi Pula""",,
24,2,Gjakovë/Đakovica,0225c,Molliq/Molić,"Shkolla Fillore ""Jahe Salihu""","Osnovna Škola ""Jahe Salihu""",,
25,2,Gjakovë/Đakovica,0226c,Dol/Dolj,"Shkolla Fillore ""Qemajl Bakia""","Osnovna Škola ""Qemajl Bakia""",,
26,2,Gjakovë/Đakovica,0227c,Zhabel/Žabelj,"Shkolla Fillore ""Ferhat Binishi""","Osnovna Škola ""Ferhat Binishi""",,
27,2,Gjakovë/Đakovica,0228c,Babaj i Bokes/Babaj Boks,"Shkolla Fillore ""Fahri Hoxha""","Osnovna Škola ""Fahri Hoxha""",,
